PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
0.0008132495856981495   EMA   Nottingham East Midlands, United Kingdom
0.0008125757400890935   NGO   Chubu Centrair Intl, Japan
0.0008124159848522016   FAO   Faro, Portugal
0.0008108906023344707   ACE   Lanzarote, Spain
0.0008070212865878549   LOS   Murtala Muhammed, Nigeria
0.0008044474747250023   SFB   Orlando Sanford Intl, United States
0.0008041211651439751   CHC   Christchurch Intl, New Zealand
0.0007952688825813498   TYN   Wusu, China
0.0007922998423167168   HOU   William P Hobby, United States
0.0007877624220830684   TUN   Carthage, Tunisia
0.0007869428462095406   HET   Baita Airport, China
0.0007819144752353248   BGO   Flesland, Norway
0.0007801598040051252   FOC   Changle, China
0.0007763864855812873   NCL   Newcastle, United Kingdom
0.0007727554242176937   YWG   Winnipeg Intl, Canada
0.0007722030104714686   LCA   Larnaca, Cyprus
0.0007680218868041368   BUD   Ferihegy, Hungary
0.0007675971654980915   KTN   Ketchikan Intl, United States
0.0007664635377609666   CFU   Ioannis Kapodistrias Intl, Greece
0.0007615719108341383   CGB   Marechal Rondon, Brazil
0.0007602287581000846   YFB   Iqaluit, Canada
0.0007568832728334694   DMM   King Fahd Intl, Saudi Arabia
0.0007543597465572642   DAC   Zia Intl, Bangladesh
0.0007506087292588421   AER   Sochi, Russia
0.0007483714846055885   KEF   Keflavik International Airport, Iceland
0.0007446952452597945   RGN   Yangon Intl, Burma
0.0007438628516103691   CTA   Catania Fontanarossa, Italy
0.0007420916803410156   OAK   Metropolitan Oakland Intl, United States
0.0007346966610300749   BSL   EuroAirport Basel-Mulhouse-Freiburg, Switzerland
0.0007342914814525039   ACC   Kotoka Intl, Ghana
0.0007337883906130225   BAH   Bahrain Intl, Bahrain
0.0007267891960740137   SKG   Makedonia, Greece
0.0007266354056082444   AUS   Austin Bergstrom Intl, United States
0.0007203256134183244   BEL   Val De Cans Intl, Brazil
0.0007165467894405225   YRT   Rankin Inlet, Canada
0.0007153357752199061   PUS   Gimhae Intl, South Korea
0.0007050802609569659   CPT   Cape Town Intl, South Africa
0.0006953689460541668   YOW   Ottawa Macdonald Cartier Intl, Canada
0.0006944478977071135   MTY   General Mariano Escobedo Intl, Mexico
0.0006905048378622401   KRT   Khartoum, Sudan
0.0006873067578767861   TLS   Blagnac, France
0.0006834156948333997   RDU   Raleigh Durham Intl, United States
0.0006825586211435174   PSA   Pisa, Italy
0.0006824375259573338   BKI   Kota Kinabalu Intl, Malaysia
0.0006819953224321507   CRL   Brussels South, Belgium
0.0006801945527615311   ABV   Nnamdi Azikiwe Intl, Nigeria
0.0006762601909919485   GRO   Girona, Spain
0.0006731407675725536   MEM   Memphis Intl, United States
0.000672065856221764   SYZ   Shiraz Shahid Dastghaib Intl, Iran
0.0006709836116662685   MAH   Menorca, Spain
0.0006701632782456985   SAL   El Salvador Intl, El Salvador
0.0006699107805970265   MES   Polonia, Indonesia
0.000669075991547334   ANI   Aniak Airport, United States
0.000668080133904643   SAT   San Antonio Intl, United States
0.0006657407166173452   HAK   Meilan, China
0.0006638289912234751   BEY   Rafic Hariri Intl, Lebanon
0.0006618904298978446   OGG   Kahului, United States
0.0006592168436223939   ESB   Esenboga, Turkey
0.0006562607625788763   SYX   Phoenix International, China
0.0006525522330708403   KHN   Changbei Intl, China
0.0006505218715107397   KWL   Liangjiang, China
0.0006504183414512961   BPN   Sepinggan, Indonesia
0.0006493326557172483   REC   Guararapes Gilberto Freyre Intl, Brazil
0.0006492762758990144   TNR   Ivato, Madagascar
0.0006489630463503797   CJU   Jeju Intl, South Korea
0.0006468501107061306   TSE   Astana Intl, Kazakhstan
0.0006460417759833461   VLC   Valencia, Spain
0.0006459546151674744   GYE   Jose Joaquin De Olmedo Intl, Ecuador
0.0006458451761823856   HKT   Phuket Intl, Thailand
0.0006457934807657168   LPB   El Alto Intl, Bolivia
0.000641305775652477   HAJ   Hannover, Germany
0.00064115651872739   MSY   Louis Armstrong New Orleans Intl, United States
0.0006392998296262899   LCY   City, United Kingdom
0.0006385615393341592   BLQ   Bologna, Italy
0.000636525733281519   SPU   Split, Croatia
0.0006353745092963718   OKA   Naha, Japan
0.0006329260434960305   DKR   Leopold Sedar Senghor Intl, Senegal
0.0006327942218071398   TIP   Tripoli Intl, Libya
0.0006288349388686122   SXF   Schonefeld, Germany
0.0006287743015539684   SJC   Norman Y Mineta San Jose Intl, United States
0.0006283557546426035   TAH   Tanna island, Vanuatu
0.0006282207525868477   YZV   Sept Iles, Canada
0.0006260496387526627   FUE   Fuerteventura, Spain
0.0006240214882388541   BEG   Beograd, Serbia
0.0006222790312729918   KGS   Kos, Greece
0.0006203482496743686   SDU   Santos Dumont, Brazil
0.0006183456982159893   WIL   Nairobi Wilson, Kenya
0.0006181272866585014   MDL   Mandalay Intl, Burma
0.0006174167121447767   CVG   Cincinnati Northern Kentucky Intl, United States
0.0006168493647490396   NAP   Capodichino, Italy
0.0006146585148976902   DBV   Dubrovnik, Croatia
0.0006133869021412223   MFM   Macau Intl, Macau
0.0006129139286800826   SZB   Subang-Sultan Abdul Aziz Shah Intl, Malaysia
0.0006128084168298059   LHW   Lanzhou Airport, China
0.0006111977672123437   LBA   Leeds Bradford, United Kingdom
0.0006105777299372655   NTE   Nantes Atlantique, France
0.0006098303220369381   ISB   Chaklala, Pakistan
0.0006096146072542414   OLB   Olbia Costa Smeralda, Italy
0.0006071157354303263   GYD   Heydar Aliyev, Azerbaijan
0.0006059246171685815   YQB   Quebec Jean Lesage Intl, Canada
0.000604376891684795   MKE   General Mitchell Intl, United States
0.0006014618882369838   MYY   Miri, Malaysia
0.000599156043161142   PIT   Pittsburgh Intl, United States
0.0005983573083333821   ITM   Osaka Intl, Japan
0.0005974410915051294   YWK   Wabush, Canada
0.0005948050735128411   PUJ   Punta Cana Intl, Dominican Republic
0.0005940751028085629   SXM   Princess Juliana Intl, Netherlands Antilles
0.0005892364489701859   SMF   Sacramento Intl, United States
0.0005857153487559543   YHZ   Halifax Intl, Canada
0.0005818422002046332   RKV   Reykjavik, Iceland
0.0005740671189419982   BIO   Bilbao, Spain
0.0005735021767234967   LUN   Lusaka Intl, Zambia
0.0005731662586745455   ULN   Chinggis Khaan Intl, Mongolia
0.000572903361001551   AKN   King Salmon, United States
0.0005703151591909448   ADB   Adnan Menderes, Turkey
0.0005664330461321826   ABJ   Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire
0.0005647000304857066   LUX   Luxembourg, Luxembourg
0.0005646896175498519   WNZ   Wenzhou Yongqiang Airport, China
0.0005623891360868507   IND   Indianapolis Intl, United States
0.0005608970876639103   PEN   Penang Intl, Malaysia
0.0005512257169718062   HFE   Luogang, China
0.000550802604130571   CMH   Port Columbus Intl, United States
0.0005495684092214297   KHV   Novy, Russia
0.0005485974964207963   COK   Cochin, India
0.0005478600745053835   YQT   Thunder Bay, Canada
0.0005462423265245694   DLA   Douala, Cameroon
0.0005457480617179278   TRD   Vaernes, Norway
0.000545517388618664   KJA   Emelyanovo, Russia
0.0005429353401217479   FOR   Pinto Martins Intl, Brazil
0.0005383814945723384   RAK   Menara, Morocco
0.0005379447355490869   YYR   Goose Bay, Canada
0.0005367660506263098   RSW   Southwest Florida Intl, United States
0.000536303242639141   SUV   Nausori Intl, Fiji
0.0005351043818748461   RAR   Rarotonga Intl, Cook Islands
0.0005334118302421886   ABQ   Albuquerque International Sunport, United States
0.0005295011961876701   SAH   Sanaa Intl, Yemen
0.0005279450453187643   BOD   Merignac, France
0.0005273252384499441   MRU   Sir Seewoosagur Ramgoolam Intl, Mauritius
0.0005266952976746441   CGQ   Changchun, China
0.0005256192887715191   CAG   Elmas, Italy
0.0005253892215925819   TOS   Langnes, Norway
0.0005253053616842668   DUT   Unalaska, United States
0.000522627182356723   PMO   Palermo, Italy
0.0005226086749106097   LHE   Allama Iqbal Intl, Pakistan
0.0005201751599397115   SON   Santo Pekoa International Airport, Vanuatu
0.0005196095694759615   LPL   Liverpool, United Kingdom
0.0005181584958166412   TSV   Townsville, Australia
0.0005178877282676586   AUA   Reina Beatrix Intl, Aruba
0.0005164593013090915   MSQ   Minsk 2, Belarus
0.0005156731377709991   AZA   Phoenix-Mesa Gateway, United States
0.0005144887265040793   YEV   Inuvik Mike Zubko, Canada
0.0005141674777403132   SOF   Sofia, Bulgaria
0.000512700120777562   CUR   Hato, Netherlands Antilles
0.0005103960820349868   VVI   Viru Viru Intl, Bolivia
0.0005097266323090192   LIN   Linate, Italy
0.0005097244477714531   GOH   Nuuk, Greenland
0.0005082550354730032   CLO   Alfonso Bonilla Aragon Intl, Colombia
0.0005081659705870031   INC   Yinchuan, China
0.0005011673063595417   EIN   Eindhoven, Netherlands
0.0004996683617623468   DLM   Dalaman, Turkey
0.000497778703895983   TIJ   General Abelardo L Rodriguez Intl, Mexico
0.0004944113060322346   SJW   Shijiazhuang Daguocun International Airport, China
0.0004910418756408783   NGB   Lishe, China
0.0004890655096201138   BOJ   Burgas, Bulgaria
0.0004886339600236712   VNO   Vilnius Intl, Lithuania
0.0004868519572229203   VVO   Knevichi, Russia
0.00048308318069388535   TLL   Tallinn, Estonia
0.0004825089438924579   SYQ   Tobias Bolanos International Airport, Costa Rica
0.00048183495190620316   SNA   John Wayne Arpt Orange Co, United States
0.00048047355049840444   OOL   Gold Coast, Australia
0.00047821154278397416   YVP   Kuujjuaq, Canada
0.0004743769586348218   SJD   Los Cabos Intl, Mexico
0.0004725594664693626   FNC   Madeira, Portugal
0.00047205379936431807   IKA   Imam Khomeini, Iran
0.00047168565055576644   BVA   Tille, France
0.0004684072563459456   GMP   Gimpo, South Korea
0.00046755115937896567   KHH   Kaohsiung Intl, Taiwan
0.0004673171657950942   HHN   Frankfurt Hahn, Germany
0.00046692600788175514   GAU   Lokpriya Gopinath Bordoloi International Airport, India
0.0004651185994312186   BOO   Bodo, Norway
0.00046351857530321804   DAL   Dallas Love Fld, United States
0.00046238597398151187   DAR   Mwalimu Julius K Nyerere Intl, Tanzania
0.00046120886458344895   NRN   Niederrhein, Germany
0.0004600347922266827   KRK   Balice, Poland
0.00045964885182724795   SVG   Sola, Norway
0.0004583928703627528   JAV   Ilulissat, Greenland
0.0004576074213195713   CNX   Chiang Mai Intl, Thailand
0.0004569613543296686   HBE   Borg El Arab Intl, Egypt
0.0004568690040067622   NAY   Beijing Nanyuan Airport, China
0.00045552383520605844   MLE   Male Intl, Maldives
0.00045427310230284327   GUM   Guam Intl, Guam
0.0004514232169025753   KCH   Kuching Intl, Malaysia
0.0004511317041819124   YRL   Red Lake Airport, Canada
0.0004503020323819984   IFN   Esfahan Shahid Beheshti Intl, Iran
0.00045008538648491473   YNT   Laishan, China
0.00044966694076030564   KGL   Kigali Intl, Rwanda
0.0004489454196615369   AAQ   Vityazevo, Russia
0.00044727616774917244   SDQ   Las Americas Intl, Dominican Republic
0.00044672223982438895   IEV   Zhuliany Intl, Ukraine
0.0004432651972599887   YKS   Yakutsk, Russia
0.00043877457106709586   MYR   Myrtle Beach Intl, United States
0.0004375395087562335   AMD   Ahmedabad, India
0.00043753253544092394   PFO   Pafos Intl, Cyprus
0.0004369315544302036   XNN   Xining Caojiabu Airport, China
0.0004355439138293876   COO   Cadjehoun, Benin
0.0004350845111157815   BIL   Billings Logan International Airport, United States
0.0004350150258305883   SVQ   Sevilla, Spain
0.00043495344303486023   LJG   Lijiang Airport, China
0.0004344467026056861   BRI   Bari, Italy
0.00043372822827976725   GYN   Santa Genoveva, Brazil
0.0004321372309396311   EBB   Entebbe Intl, Uganda
0.00043099247718659053   BTH   Hang Nadim, Indonesia
0.0004302366994215199   CIA   Ciampino, Italy
0.0004291674956458019   AWZ   Ahwaz, Iran
0.0004275630989464728   DJJ   Sentani, Indonesia
0.0004237033356756947   ERS   Eros Airport, Namibia
0.0004217091568987222   AJA   Campo Dell Oro, France
0.00041997335635739165   MBJ   Sangster Intl, Jamaica
0.00041816544618455574   ISA   Mount Isa, Australia
0.0004180604395440298   JER   Jersey, Jersey
0.00041792910396886964   GOT   Landvetter, Sweden
0.0004178722716282349   KOI   Kirkwall, United Kingdom
0.0004177415329368936   FLN   Hercilio Luz, Brazil
0.0004177329798021465   BFS   Belfast Intl, United Kingdom
0.00041742617874015553   ANU   V C Bird Intl, Antigua and Barbuda
0.00041698702392530657   HRE   Harare Intl, Zimbabwe
0.0004169739716524475   UNK   Unalakleet Airport, United States
0.00041599785410687847   FRU   Manas, Kyrgyzstan
0.0004156490063696983   EVN   Zvartnots, Armenia
0.00041130230322757375   JAX   Jacksonville Intl, United States
0.0004100587079439122   MDE   Jose Maria Cordova, Colombia
0.00040811731315277606   OUA   Ouagadougou, Burkina Faso
0.00040768698391103266   MED   Prince Mohammad Bin Abdulaziz, Saudi Arabia
0.00040666376017294367   NUE   Nurnberg, Germany
0.0004064409503292832   GDN   Lech Walesa, Poland
0.00040543267408738043   ABZ   Dyce, United Kingdom
0.0004033103528464432   CHQ   Souda, Greece
0.00040016660836953615   BND   Bandar Abbass Intl, Iran
0.00040014923876056956   SOU   Southampton, United Kingdom
0.00039996714041126485   EOH   Olaya Herrera, Colombia
0.0003984207116795366   SFJ   Sondre Stromfjord, Greenland
0.0003983646990479859   SDF   Louisville International Airport, United States
0.0003981765299583902   OKC   Will Rogers World, United States
0.00039764392412466485   GUA   La Aurora, Guatemala
0.000397289110932759   IKT   Irkutsk, Russia
0.0003967719958390871   WUX   Wuxi Airport, China
0.00039655419406934395   MPM   Maputo, Mozambique
0.00039512350294095087   PVH   Governador Jorge Teixeira De Oliveira, Brazil
0.00039434299362899733   SSH   Sharm El Sheikh Intl, Egypt
0.00039320574975528204   BRE   Neuenland, Germany
0.0003926390156894635   PLU   Pampulha Carlos Drummond De Andrade, Brazil
0.0003905080764018682   GAL   Edward G Pitka Sr, United States
0.0003843600010073012   TRV   Thiruvananthapuram Intl, India
0.00038335199709536166   VTE   Wattay Intl, Laos
0.00038308943250939205   PVR   Licenciado Gustavo Diaz Ordaz Intl, Mexico
0.0003820553182638226   BDL   Bradley Intl, United States
0.0003808092603527052   RAB   Tokua Airport, Papua New Guinea
0.0003806785590577905   ZAG   Zagreb, Croatia
0.00037968129130223915   NYO   Skavsta, Sweden
0.00037851265122264814   VIX   Goiabeiras, Brazil
0.0003781913672578249   KUF   Kurumoch, Russia
0.0003774394544616329   PLS   Providenciales, Turks and Caicos Islands
0.000377423678551587   KZN   Kazan, Russia
0.0003774222978132396   CWL   Cardiff, United Kingdom
0.00037704130848257856   PIE   St Petersburg Clearwater Intl, United States
0.00037610053726023764   TRF   Torp, Norway
0.0003758195593745286   HGU   Mount Hagen, Papua New Guinea
0.0003756406067780468   UAK   Narsarsuaq, Greenland
0.0003755788723372125   MDC   Sam Ratulangi, Indonesia
0.0003741281979539411   BJV   Bodrum - Milas, Turkey
0.00037013248396030186   KRR   Pashkovskiy, Russia
0.0003701010107920774   FLR   Firenze, Italy
0.00036987465544271016   REP   Siem Reap, Cambodia
0.00036880603927750546   STM   Santarem, Brazil
0.00036726134572678245   POS   Piarco, Trinidad and Tobago
0.00036699594117134665   DUR   Durban Intl, South Africa
0.000366819634350508   RUN   St Denis Gillot, Reunion
0.0003664482884347422   YYT   St Johns Intl, Canada
0.0003662938577455188   BGI   Grantley Adams Intl, Barbados
0.000366179516505288   TSA   Sungshan, Taiwan
0.00036574151057985503   YCB   Cambridge Bay, Canada
0.0003656203294750312   DAD   Danang Intl, Vietnam
0.00036463774266296174   CGR   Campo Grande, Brazil
0.0003641917639173381   LAE   Nadzab, Papua New Guinea
0.000363218692302739   ORN   Es Senia, Algeria
0.00036214500565942895   YKQ   Waskaganish Airport, Canada
